Deal Name,Associated Company,Deal Stage,Amount,Close Date,Deal owner,Create Date,Last Activity Date,Next step,Deal probability,Forecast category,Record ID,Pipeline
Brightwave Onboarding,Brightwave,Contract Sent,95000,6/29/2026,Sara Kim,4/2/2026,6/20/2026,Send order form,80,Best Case,4101,Sales Pipeline
Cedar Foods Renewal,Cedar Foods,Decision Maker Bought-In,72000,6/20/2026,Owen Boyd,3/15/2026,5/8/2026,Confirm verbal,75,Best Case,4102,Sales Pipeline
Delphi Health Expansion,Delphi Health,Commit,120000,6/30/2026,Lena Ruiz,2/20/2026,6/22/2026,Countersignature,90,Commit,4103,Sales Pipeline
Evergreen Logistics,Evergreen Logistics,Contract Sent,60000,6/12/2026,Paul Adeyemi,4/10/2026,5/5/2026,,80,Best Case,4104,Sales Pipeline
Foxtrot Media Buy,Foxtrot Media,Presentation Scheduled,38000,7/9/2026,Mia Fox,5/1/2026,6/10/2026,Schedule demo,40,Pipeline,4105,Sales Pipeline
Granite Bank Pilot,Granite Bank,Qualified To Buy,45000,7/18/2026,Sara Kim,5/8/2026,6/19/2026,,20,Pipeline,4106,Sales Pipeline
Harbor Retail Expansion,Harbor Retail,Decision Maker Bought-In,88000,6/18/2026,Owen Boyd,3/28/2026,6/14/2026,Legal review,75,Best Case,4107,Sales Pipeline
Indigo Tech Upsell,Indigo Tech,Contract Sent,52000,5/29/2026,Lena Ruiz,4/3/2026,5/12/2026,,80,Best Case,4108,Sales Pipeline
Juniper Labs New Biz,Juniper Labs,Appointment Scheduled,30000,7/24/2026,Paul Adeyemi,5/20/2026,6/12/2026,Discovery call,15,Pipeline,4109,Sales Pipeline
Kestrel Energy,Kestrel Energy,Presentation Scheduled,41000,7/2/2026,Mia Fox,5/5/2026,6/8/2026,,40,Pipeline,4110,Sales Pipeline
Larkspur SaaS,Larkspur SaaS,Qualified To Buy,36000,8/3/2026,,5/12/2026,6/17/2026,Send pricing,20,Pipeline,4111,Sales Pipeline
Monarch Foods Renewal,Monarch Foods,Contract Sent,66000,6/9/2026,Sara Kim,4/22/2026,6/9/2026,Order form sent,80,Best Case,4112,Sales Pipeline
Nimbus Cloud Expansion,Nimbus Cloud,Decision Maker Bought-In,78000,6/27/2026,Owen Boyd,3/30/2026,6/21/2026,,75,Best Case,4113,Sales Pipeline
Olive & Co Pilot,Olive & Co,Qualified To Buy,28000,4/30/2026,Lena Ruiz,3/1/2026,5/2/2026,Re-engage,20,Pipeline,4114,Sales Pipeline
Pioneer Freight,Pioneer Freight,Presentation Scheduled,33000,5/20/2026,Paul Adeyemi,4/5/2026,5/22/2026,,40,Pipeline,4115,Sales Pipeline
Quartz Analytics,Quartz Analytics,Appointment Scheduled,24000,7/15/2026,Mia Fox,6/1/2026,6/23/2026,Discovery call,15,Pipeline,4116,Sales Pipeline
Rowan Software,Rowan Software,Qualified To Buy,31000,7/22/2026,Sara Kim,6/3/2026,6/24/2026,Demo booked,20,Pipeline,4117,Sales Pipeline
Solstice Media,Solstice Media,Presentation Scheduled,27000,7/28/2026,Owen Boyd,6/5/2026,6/20/2026,Proposal draft,40,Pipeline,4118,Sales Pipeline
Tamarind Group,Tamarind Group,Decision Maker Bought-In,84000,7/10/2026,Lena Ruiz,5/15/2026,5/12/2026,Legal review,75,Best Case,4119,Sales Pipeline
Umbra Systems,Umbra Systems,Contract Sent,58000,7/6/2026,Paul Adeyemi,5/18/2026,6/19/2026,,,Best Case,4120,Sales Pipeline
Vertex Manufacturing,Vertex Manufacturing,Qualified To Buy,35000,8/5/2026,Mia Fox,6/8/2026,6/21/2026,Send pricing,20,Pipeline,4121,Sales Pipeline
Willow Health,Willow Health,Appointment Scheduled,22000,8/12/2026,Sara Kim,6/10/2026,6/18/2026,Discovery call,15,Pipeline,4122,Sales Pipeline
Xenon Retail,Xenon Retail,Presentation Scheduled,29000,8/20/2026,Owen Boyd,6/12/2026,6/16/2026,,,Pipeline,4123,Sales Pipeline
Yarrow Foods,Yarrow Foods,Qualified To Buy,26000,9/2/2026,Lena Ruiz,6/14/2026,6/24/2026,Demo booked,20,Pipeline,4124,Sales Pipeline
Zephyr Air,Zephyr Air,Decision Maker Bought-In,92000,7/18/2026,Paul Adeyemi,5/22/2026,6/23/2026,Verbal confirmed,75,Best Case,4125,Sales Pipeline
Aspen Digital,Aspen Digital,Presentation Scheduled,34000,8/8/2026,Mia Fox,6/2/2026,6/15/2026,,40,Pipeline,4126,Sales Pipeline
Birch Logistics,Birch Logistics,Qualified To Buy,0,7/25/2026,Sara Kim,6/6/2026,6/20/2026,Confirm scope,,Pipeline,4127,Sales Pipeline
Coral Media New Biz,Coral Media,Appointment Scheduled,25000,8/28/2026,,6/9/2026,6/13/2026,,,Pipeline,4128,Sales Pipeline
